                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.47448,                 1.0694,                 1.0765,                0.82896,                0.71856,                0.97917,                0.85583,                0.80289,                0.71856,                0.97917,                0.85583,                0.65701,                0.36004,                0.94877,                 1.1999,                0.74771,             0.00046206,             0.00046206,             0.00046206
                     62,                0.45322,                0.97428,                 1.0109,                0.81148,                 0.7192,                 0.9602,                0.86017,                0.80453,                 0.7192,                 0.9602,                0.86017,                0.66299,                0.37621,                0.86688,                 1.2001,                0.74826,             0.00045107,             0.00045107,             0.00045107
                     63,                0.43859,                0.88485,                   1.01,                0.80792,                 0.7192,                 0.9602,                0.86017,                0.80453,                 0.7192,                 0.9602,                0.86017,                0.66299,                0.37621,                0.86688,                 1.2001,                0.74826,             0.00044007,             0.00044007,             0.00044007
                     64,                0.46872,                0.83537,                 1.0241,                0.81168,                0.71684,                0.95877,                0.87474,                0.78643,                0.71684,                0.95877,                0.87474,                 0.6816,                0.39246,                0.76355,                 1.2016,                0.74873,             0.00042907,             0.00042907,             0.00042907
                     65,                0.45649,                0.92196,                 1.0289,                0.80831,                0.71684,                0.95877,                0.87474,                0.78643,                0.71684,                0.95877,                0.87474,                 0.6816,                0.39246,                0.76355,                 1.2016,                0.74873,             0.00041807,             0.00041807,             0.00041807
                     66,                0.45156,                0.88885,                0.99047,                0.81196,                0.71595,                0.93677,                0.87964,                0.78544,                 0.7174,                0.93188,                0.85941,                0.68462,                0.40622,                0.71879,                 1.1728,                0.75185,             0.00040707,             0.00040707,             0.00040707
                     67,                0.44714,                0.89613,                0.99422,                0.81053,                0.71595,                0.93677,                0.87964,                0.78544,                 0.7174,                0.93188,                0.85941,                0.68462,                0.40622,                0.71879,                 1.1728,                0.75185,             0.00039607,             0.00039607,             0.00039607
                     68,                0.45259,                0.82509,                0.95857,                0.82441,                 0.7229,                0.97047,                0.89134,                 0.7972,                0.71856,                0.95833,                0.87085,                 0.7107,                0.39134,                0.67552,                  1.044,                0.75102,             0.00038507,             0.00038507,             0.00038507
                     69,                0.45368,                0.89953,                 1.0959,                0.81436,                 0.7229,                0.97047,                0.89134,                 0.7972,                0.71856,                0.95833,                0.87085,                 0.7107,                0.39134,                0.67552,                  1.044,                0.75102,             0.00037407,             0.00037407,             0.00037407
                     70,                0.47961,                0.95143,                 1.1207,                0.83722,                0.77581,                0.96176,                0.90089,                0.81125,                0.77119,                0.94047,                0.88035,                0.70997,                0.37794,                0.67252,                 1.0354,                0.75407,             0.00036307,             0.00036307,             0.00036307
                     71,                0.44166,                0.71782,                 1.0333,                0.80313,                0.77581,                0.96176,                0.90089,                0.81125,                0.77119,                0.94047,                0.88035,                0.70997,                0.37794,                0.67252,                 1.0354,                0.75407,             0.00035208,             0.00035208,             0.00035208
                     72,                0.42791,                0.72645,                 1.0357,                  0.829,                0.79095,                0.95439,                0.90541,                0.82986,                0.79095,                0.95439,                0.90541,                0.72452,                 0.3461,                0.64109,                 1.0413,                0.75317,             0.00034108,             0.00034108,             0.00034108
                     73,                 0.4654,                0.84756,                0.98342,                0.80687,                0.79095,                0.95439,                0.90541,                0.82986,                0.79095,                0.95439,                0.90541,                0.72452,                 0.3461,                0.64109,                 1.0413,                0.75317,             0.00033008,             0.00033008,             0.00033008
                     74,                0.43586,                0.73057,                0.95863,                0.80601,                0.82827,                0.94505,                0.90956,                0.83911,                0.82827,                0.94505,                0.90956,                0.71954,                0.34373,                0.61958,                 1.0731,                0.75218,             0.00031908,             0.00031908,             0.00031908
                     75,                0.40714,                 0.6954,                0.95262,                0.80109,                0.82827,                0.94505,                0.90956,                0.83911,                0.82827,                0.94505,                0.90956,                0.71954,                0.34373,                0.61958,                 1.0731,                0.75218,             0.00030808,             0.00030808,             0.00030808
                     76,                0.46739,                0.95186,                0.99225,                0.82481,                0.76742,                0.88467,                0.90687,                0.84516,                0.76742,                0.88467,                0.90687,                0.72219,                0.34905,                0.63168,                 1.2334,                0.75129,             0.00029708,             0.00029708,             0.00029708
                     77,                0.44313,                0.74986,                0.94753,                0.79783,                0.76742,                0.88467,                0.90687,                0.84516,                0.76742,                0.88467,                0.90687,                0.72219,                0.34905,                0.63168,                 1.2334,                0.75129,             0.00028608,             0.00028608,             0.00028608
                     78,                 0.4071,                0.67375,                  1.023,                0.83658,                0.77156,                0.87456,                0.91504,                0.85611,                0.77156,                0.87456,                0.91504,                  0.717,                0.33515,                0.61763,                 1.2153,                0.74903,             0.00027508,             0.00027508,             0.00027508
                     79,                0.39303,                 0.6674,                0.93268,                0.81266,                0.77156,                0.87456,                0.91504,                0.85611,                0.77156,                0.87456,                0.91504,                  0.717,                0.33515,                0.61763,                 1.2153,                0.74903,             0.00026408,             0.00026408,             0.00026408
                     80,                0.39219,                0.78383,                0.95627,                0.80717,                0.83783,                0.92978,                0.95789,                0.89229,                0.83783,                0.92978,                0.95789,                0.77785,                0.32867,                0.55448,                0.94873,                0.74793,             0.00025309,             0.00025309,             0.00025309
                     81,                0.40584,                0.69528,                0.88509,                0.82814,                0.83783,                0.92978,                0.95789,                0.89229,                0.83783,                0.92978,                0.95789,                0.77785,                0.32867,                0.55448,                0.94873,                0.74793,             0.00024209,             0.00024209,             0.00024209
                     82,                0.42459,                0.84277,                0.91183,                0.82408,                0.91995,                0.95267,                 0.9825,                0.90585,                0.91995,                0.95267,                 0.9825,                0.81372,                 0.3289,                0.52615,                0.75586,                0.74594,             0.00023109,             0.00023109,             0.00023109
