                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.38102,                0.97568,                 1.0809,                0.81091,                0.96667,                0.43517,                0.58927,                0.54626,                0.96667,                0.43517,                0.55912,                0.48271,                0.43784,                 1.8451,                 1.8883,                0.87511,             0.00018499,             0.00018499,             0.00018499
                     85,                0.42206,                 1.0644,                 1.0623,                0.80998,                0.96667,                0.43517,                0.58927,                0.54626,                0.96667,                0.43517,                0.55912,                0.48271,                0.43784,                 1.8451,                 1.8883,                0.87511,             0.00017682,             0.00017682,             0.00017682
                     86,                 0.4405,                0.81895,                 1.1613,                0.83571,                0.96667,                0.43517,                0.58927,                0.54626,                0.96667,                0.43517,                0.55912,                0.48271,                0.43784,                 1.8451,                 1.8883,                0.87511,             0.00016841,             0.00016841,             0.00016841
                     87,                0.35878,                0.75273,                 1.0422,                0.80059,                0.96667,                0.43517,                0.58927,                0.54626,                0.96667,                0.43517,                0.55912,                0.48271,                0.43784,                 1.8451,                 1.8883,                0.87511,             0.00015975,             0.00015975,             0.00015975
                     88,                 0.4116,                0.74421,                 1.1594,                0.80544,                0.97548,                0.44823,                 0.6051,                0.55004,                0.97548,                0.44823,                0.57497,                0.49436,                 0.4311,                 1.7598,                 1.7779,                0.87117,             0.00015084,             0.00015084,             0.00015084
                     89,                0.46435,                 1.1658,                 1.1334,                0.82071,                0.97548,                0.44823,                 0.6051,                0.55004,                0.97548,                0.44823,                0.57497,                0.49436,                 0.4311,                 1.7598,                 1.7779,                0.87117,             0.00014168,             0.00014168,             0.00014168
                     90,                0.39765,                0.96275,                 1.0065,                0.84874,                0.97548,                0.44823,                 0.6051,                0.55004,                0.97548,                0.44823,                0.57497,                0.49436,                 0.4311,                 1.7598,                 1.7779,                0.87117,             0.00013228,             0.00013228,             0.00013228
                     91,                0.32458,                 0.8536,                0.96389,                 0.7723,                0.97548,                0.44823,                 0.6051,                0.55004,                0.97548,                0.44823,                0.57497,                0.49436,                 0.4311,                 1.7598,                 1.7779,                0.87117,             0.00012262,             0.00012262,             0.00012262
                     92,                0.33228,                0.75656,                 1.0295,                0.80947,                0.97988,                   0.45,                0.61099,                0.55668,                0.97988,                   0.45,                0.58089,                0.50382,                0.43051,                 1.6778,                 1.6853,                0.86874,             0.00011273,             0.00011273,             0.00011273
                     93,                0.32504,                0.78951,                0.99438,                0.77764,                0.97988,                   0.45,                0.61099,                0.55668,                0.97988,                   0.45,                0.58089,                0.50382,                0.43051,                 1.6778,                 1.6853,                0.86874,             0.00010258,             0.00010258,             0.00010258
                     94,                0.37937,                 0.9653,                0.97502,                0.79061,                0.97988,                   0.45,                0.61099,                0.55668,                0.97988,                   0.45,                0.58089,                0.50382,                0.43051,                 1.6778,                 1.6853,                0.86874,             9.2186e-05,             9.2186e-05,             9.2186e-05
                     95,                0.32384,                0.85837,                 1.0087,                0.78383,                0.97988,                   0.45,                0.61099,                0.55668,                0.97988,                   0.45,                0.58089,                0.50382,                0.43051,                 1.6778,                 1.6853,                0.86874,             8.1545e-05,             8.1545e-05,             8.1545e-05
                     96,                 0.3317,                0.93145,                0.96928,                0.79307,                0.98339,                   0.45,                 0.6459,                0.58637,                0.98339,                   0.45,                0.61582,                0.52893,                0.43497,                 1.6103,                 1.6019,                0.86806,             7.0656e-05,             7.0656e-05,             7.0656e-05
                     97,                0.32649,                0.82941,                 1.0088,                0.80379,                0.98339,                   0.45,                 0.6459,                0.58637,                0.98339,                   0.45,                0.61582,                0.52893,                0.43497,                 1.6103,                 1.6019,                0.86806,              5.952e-05,              5.952e-05,              5.952e-05
                     98,                 0.2974,                0.78389,                 0.9279,                0.77643,                0.98339,                   0.45,                 0.6459,                0.58637,                0.98339,                   0.45,                0.61582,                0.52893,                0.43497,                 1.6103,                 1.6019,                0.86806,             4.8136e-05,             4.8136e-05,             4.8136e-05
                     99,                0.32409,                0.81544,                0.95304,                0.77901,                0.98339,                   0.45,                 0.6459,                0.58637,                0.98339,                   0.45,                0.61582,                0.52893,                0.43497,                 1.6103,                 1.6019,                0.86806,             3.6505e-05,             3.6505e-05,             3.6505e-05
                    100,                0.32288,                0.83846,                0.98256,                0.81073,                 0.9808,                   0.45,                0.63353,                0.58588,                 0.9808,                   0.45,                0.60345,                 0.5216,                0.43459,                 1.5515,                 1.5308,                0.86755,             2.4626e-05,             2.4626e-05,             2.4626e-05
